can not open map file operacinis.lsi
Loading netlist......
Loading netlist successfully.
at 800.000 ns, RZ  expected: 0, actual: 1
at 1100.000 ns, RZ  expected: 0, actual: 1
at 1100.000 ns, R7  expected: 0, actual: 1
at 1100.000 ns, R6  expected: 0, actual: 1
at 1100.000 ns, R5  expected: 0, actual: 1
at 1400.000 ns, RZ  expected: 0, actual: 1
at 1400.000 ns, R7  expected: 0, actual: 1
at 1400.000 ns, R6  expected: 0, actual: 1
at 1400.000 ns, R5  expected: 0, actual: 1
at 1700.000 ns, RZ  expected: 0, actual: 1
at 1700.000 ns, R7  expected: 0, actual: 1
at 1700.000 ns, R6  expected: 0, actual: 1
at 1700.000 ns, R5  expected: 0, actual: 1
at 1700.000 ns, R4  expected: 0, actual: 1
at 2000.000 ns, RZ  expected: 0, actual: 1
at 2000.000 ns, R7  expected: 0, actual: 1
at 2000.000 ns, R6  expected: 0, actual: 1
at 2000.000 ns, R5  expected: 0, actual: 1
at 2000.000 ns, R4  expected: 0, actual: 1
at 2300.000 ns, RZ  expected: 0, actual: 1
at 2300.000 ns, R7  expected: 0, actual: 1
at 2300.000 ns, R6  expected: 0, actual: 1
at 2300.000 ns, R5  expected: 0, actual: 1
at 2300.000 ns, R4  expected: 0, actual: 1
at 2600.000 ns, RZ  expected: 0, actual: 1
at 2600.000 ns, R7  expected: 0, actual: 1
at 2600.000 ns, R6  expected: 0, actual: 1
at 2600.000 ns, R5  expected: 0, actual: 1
at 2600.000 ns, R4  expected: 0, actual: 1
at 2600.000 ns, R3  expected: 0, actual: 1
at 2900.000 ns, RZ  expected: 0, actual: 1
at 2900.000 ns, R7  expected: 0, actual: 1
at 2900.000 ns, R6  expected: 0, actual: 1
at 2900.000 ns, R5  expected: 0, actual: 1
at 2900.000 ns, R4  expected: 0, actual: 1
at 2900.000 ns, R3  expected: 0, actual: 1
at 3200.000 ns, RZ  expected: 0, actual: 1
at 3200.000 ns, R7  expected: 0, actual: 1
at 3200.000 ns, R6  expected: 0, actual: 1
at 3200.000 ns, R5  expected: 0, actual: 1
at 3200.000 ns, R4  expected: 0, actual: 1
at 3200.000 ns, R3  expected: 0, actual: 1
at 3500.000 ns, RZ  expected: 0, actual: 1
at 3500.000 ns, R7  expected: 0, actual: 1
at 3500.000 ns, R6  expected: 0, actual: 1
at 3500.000 ns, R5  expected: 0, actual: 1
at 3500.000 ns, R4  expected: 0, actual: 1
at 3500.000 ns, R3  expected: 0, actual: 1
at 3800.000 ns, RZ  expected: 0, actual: 1
at 3800.000 ns, R7  expected: 0, actual: 1
at 3800.000 ns, R6  expected: 0, actual: 1
at 3800.000 ns, R5  expected: 0, actual: 1
at 3800.000 ns, R4  expected: 0, actual: 1
at 3800.000 ns, R3  expected: 0, actual: 1
at 4100.000 ns, RZ  expected: 0, actual: 1
at 4100.000 ns, R7  expected: 0, actual: 1
at 4100.000 ns, R6  expected: 0, actual: 1
at 4100.000 ns, R5  expected: 0, actual: 1
at 4100.000 ns, R4  expected: 0, actual: 1
at 4100.000 ns, R3  expected: 0, actual: 1
at 4100.000 ns, R1  expected: 0, actual: 1
at 4400.000 ns, RZ  expected: 0, actual: 1
at 4400.000 ns, R7  expected: 0, actual: 1
at 4400.000 ns, R6  expected: 0, actual: 1
at 4400.000 ns, R5  expected: 0, actual: 1
at 4400.000 ns, R4  expected: 0, actual: 1
at 4400.000 ns, R3  expected: 0, actual: 1
at 4400.000 ns, R1  expected: 0, actual: 1
at 5300.000 ns, RZ  expected: 0, actual: 1
at 5600.000 ns, RZ  expected: 0, actual: 1
at 5600.000 ns, R7  expected: 0, actual: 1
at 5600.000 ns, R6  expected: 0, actual: 1
at 5600.000 ns, R5  expected: 0, actual: 1
at 5900.000 ns, RZ  expected: 0, actual: 1
at 5900.000 ns, R7  expected: 0, actual: 1
at 5900.000 ns, R6  expected: 0, actual: 1
at 5900.000 ns, R5  expected: 0, actual: 1
at 6200.000 ns, RZ  expected: 0, actual: 1
at 6200.000 ns, R7  expected: 0, actual: 1
at 6200.000 ns, R6  expected: 0, actual: 1
at 6200.000 ns, R5  expected: 0, actual: 1
at 6500.000 ns, RZ  expected: 0, actual: 1
at 6500.000 ns, R7  expected: 0, actual: 1
at 6500.000 ns, R6  expected: 0, actual: 1
at 6500.000 ns, R5  expected: 0, actual: 1
at 6800.000 ns, RZ  expected: 0, actual: 1
at 6800.000 ns, R7  expected: 0, actual: 1
at 6800.000 ns, R6  expected: 0, actual: 1
at 6800.000 ns, R5  expected: 0, actual: 1
at 7100.000 ns, RZ  expected: 0, actual: 1
at 7100.000 ns, R7  expected: 0, actual: 1
