 ispLEVER Classic 1.4.00.04.27.10 Fitter Report File 
Project Name,automatas
Project Path,C:\Users\petku_000\Documents\Darbas\Kompiuteriu elementai ir architektura\automatas\Simas
Project Fitted on,Mon May 20 16:33:11 2013

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
A1,TDI,-,,,,,,
B1,I_O,0,A8,,,,,
B2,I_O,0,A10,,,,,
B3,I_O,0,A11,,,,,
D4,GNDIO0,-,,,,,,
C1,I_O,0,A12,,,,,
C3,VCCIO0,-,,,,,,
C2,I_O,0,B15,,,,,
D1,I_O,0,B14,,,,,
D2,I_O,0,B13,,,,,
D3,I_O,0,B12,,,,,
E1,I_O,0,B11,,,,,
E2,I_O,0,B10,,,,,
E3,I_O,0,B9,,,,,
F1,I_O,0,B8,,,,,
F2,TCK,-,,,,,,
E4,VCC,-,,,,,,
H2,I_O,0,B6,,,,,
H1,I_O,0,B5,,,,,
G1,I_O,0,B4,,,,,
F3,VCCIO0,-,,,,,,
G2,I_O,0,B3,,LVCMOS18,Output,R3,
G3,I_O,0,B2,,LVCMOS18,Output,R4,
H3,I_O,0,B0,,LVCMOS18,Output,R5,
G4,INCLK1,0,,*,LVCMOS18,Input,D2,
F4,INCLK2,1,,*,LVCMOS18,Input,D3,
H4,I_O,1,C0,,,,,
H5,I_O,1,C1,,,,,
G5,I_O,1,C2,,,,,
H6,I_O,1,C4,,,,,
H7,I_O,1,C5,,,,,
H8,I_O,1,C6,,,,,
G8,TMS,-,,,,,,
G7,I_O,1,C8,,,,,
G6,I_O,1,C10,,,,,
F8,I_O,1,C11,,,,,
E5,GNDIO1,-,,,,,,
F7,I_O,1,C12,,,,,
F6,VCCIO1,-,,,,,,
F5,I_O,1,D15,,,,,
E8,I_O,1,D14,,,,,
E7,I_O,1,D13,,,,,
E6,I_O,1,D12,,,,,
D8,I_O,1,D11,,,,,
D7,I_O,1,D10,,,,,
D6,I_O,1,D9,,,,,
C8,I_O,1,D8,,LVCMOS18,Input,D1,
C7,TDO,-,,,,,,
D5,VCC,-,,,,,,
B8,I_O,1,D7,,LVCMOS18,Input,D0,
A8,I_O,1,D6,,LVCMOS18,Input,DZ,
B7,I_O,1,D5,,LVCMOS18,Output,RZ,
A7,I_O,1,D4,,LVCMOS18,Output,R0,
A6,VCCIO1,-,,,,,,
B6,I_O,1,D3,,LVCMOS18,Output,R6,
C6,I_O,1,D2,,LVCMOS18,Output,R1,
A5,I_O/OE,1,D0,,LVCMOS18,Output,R7,
B5,INCLK3,1,,*,LVCMOS18,Input,R,
C5,INCLK0,0,,,LVCMOS18,Input,C,
A4,I_O/OE,0,A0,,LVCMOS18,Output,R2,
B4,I_O,0,A1,,,,,
C4,I_O,0,A2,,,,,
A3,I_O,0,A4,,,,,
A2,I_O,0,A6,,,,,
